epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,482.751,0.96365,0.64266,1.1955,0.6882,0.90127,0.72027,0.51377,1.08738,0.81092,1.28815,0.009802,0.009802,0.009802
22,505.2,0.95373,0.63775,1.18564,0.67091,0.87882,0.70856,0.48259,1.17092,0.83112,1.38041,0.0097921,0.0097921,0.0097921
23,527.643,0.9533,0.64087,1.19961,0.58164,0.872,0.65238,0.43373,1.20012,0.85577,1.42803,0.0097822,0.0097822,0.0097822
24,550.073,0.94221,0.62124,1.19262,0.66931,0.91546,0.71132,0.49301,1.1042,0.80284,1.31434,0.0097723,0.0097723,0.0097723
25,572.506,0.93373,0.60968,1.18604,0.70739,0.96559,0.74779,0.56123,0.96902,0.70857,1.25571,0.0097624,0.0097624,0.0097624
26,595.01,0.93472,0.61029,1.18225,0.70889,0.94684,0.75677,0.55366,1.01258,0.71043,1.26787,0.0097525,0.0097525,0.0097525
27,617.306,0.92133,0.60455,1.16962,0.72624,0.96716,0.74515,0.56839,0.92807,0.68259,1.23568,0.0097426,0.0097426,0.0097426
28,639.684,0.91865,0.61014,1.18553,0.70661,0.93067,0.73888,0.53456,1.04299,0.80908,1.31564,0.0097327,0.0097327,0.0097327
29,662.069,0.91519,0.59758,1.1826,0.71874,0.95914,0.75828,0.5438,1.07842,0.67086,1.3338,0.0097228,0.0097228,0.0097228
30,684.412,0.90607,0.58817,1.17557,0.71669,0.95416,0.74389,0.56126,0.97094,0.69496,1.23139,0.0097129,0.0097129,0.0097129
31,706.856,0.90274,0.58896,1.16927,0.6793,0.95087,0.73193,0.52917,1.04837,0.74614,1.29195,0.009703,0.009703,0.009703
32,729.305,0.89632,0.57389,1.16471,0.70874,0.8658,0.72593,0.50204,1.17325,0.81888,1.36837,0.0096931,0.0096931,0.0096931
33,751.718,0.9001,0.57554,1.15903,0.68064,0.73937,0.64454,0.41888,1.36013,1.26232,1.53346,0.0096832,0.0096832,0.0096832
34,774.132,0.88568,0.5615,1.15602,0.68327,0.71719,0.64445,0.40783,1.44982,1.25527,1.56132,0.0096733,0.0096733,0.0096733
35,796.256,0.88514,0.56276,1.14727,0.68128,0.91453,0.7182,0.48326,1.22673,0.79386,1.3872,0.0096634,0.0096634,0.0096634
36,818.749,0.88141,0.56313,1.14451,0.7076,0.92875,0.738,0.52559,1.07901,0.74267,1.28127,0.0096535,0.0096535,0.0096535
37,840.944,0.8737,0.55591,1.13709,0.71899,0.97416,0.79315,0.59659,0.96133,0.62235,1.18461,0.0096436,0.0096436,0.0096436
38,863.829,0.86895,0.55587,1.13702,0.70535,0.96761,0.73659,0.5629,0.90231,0.70499,1.17612,0.0096337,0.0096337,0.0096337
39,886.055,0.86857,0.5626,1.14046,0.63938,0.86457,0.69839,0.47148,1.19484,0.79321,1.42076,0.0096238,0.0096238,0.0096238
40,908.419,0.86147,0.54681,1.13077,0.66574,0.53322,0.50829,0.35116,1.39884,1.89796,1.48516,0.0096139,0.0096139,0.0096139
41,930.655,0.85265,0.54175,1.13602,0.73113,0.95028,0.78292,0.57422,1.02421,0.67283,1.25449,0.009604,0.009604,0.009604
42,953.119,0.85595,0.54022,1.1347,0.67768,0.9269,0.7254,0.5196,1.06732,0.78229,1.2891,0.0095941,0.0095941,0.0095941
43,975.533,0.85049,0.53593,1.13049,0.72796,0.88801,0.72529,0.54208,1.03437,0.88093,1.2493,0.0095842,0.0095842,0.0095842
44,997.964,0.84263,0.53266,1.12068,0.7221,0.96701,0.74918,0.58748,0.88069,0.7166,1.16061,0.0095743,0.0095743,0.0095743
45,1020.41,0.83773,0.52416,1.12662,0.71097,0.94022,0.73436,0.52411,1.07786,0.75425,1.3716,0.0095644,0.0095644,0.0095644
46,1042.8,0.83467,0.52481,1.12369,0.72118,0.94846,0.74814,0.55246,1.00472,0.70117,1.22232,0.0095545,0.0095545,0.0095545
47,1065.23,0.83312,0.51826,1.1161,0.71157,0.75915,0.6781,0.46576,1.26758,1.14644,1.46565,0.0095446,0.0095446,0.0095446
48,1087.44,0.8302,0.51717,1.11147,0.73409,0.97439,0.77621,0.59973,0.92267,0.62493,1.21114,0.0095347,0.0095347,0.0095347
49,1110.49,0.82936,0.5101,1.11326,0.73538,0.9625,0.75429,0.58897,0.8856,0.68615,1.16825,0.0095248,0.0095248,0.0095248
50,1133.1,0.82228,0.5121,1.12696,0.71665,0.91956,0.73945,0.55156,0.98477,0.74654,1.27481,0.0095149,0.0095149,0.0095149
51,1155.63,0.8204,0.50842,1.11753,0.72246,0.92076,0.75411,0.53343,1.14322,0.708,1.32918,0.009505,0.009505,0.009505
52,1178.07,0.81523,0.50966,1.10462,0.72997,0.83838,0.72701,0.50572,1.21098,0.92825,1.39261,0.0094951,0.0094951,0.0094951
53,1200.47,0.81101,0.50381,1.10387,0.72407,0.97879,0.74331,0.57186,0.91168,0.69764,1.209,0.0094852,0.0094852,0.0094852
54,1222.73,0.80579,0.50083,1.10926,0.70418,0.95903,0.75464,0.57511,0.94271,0.66772,1.1947,0.0094753,0.0094753,0.0094753
55,1245.13,0.80874,0.49824,1.10083,0.69922,0.55593,0.57616,0.38983,1.43802,1.62409,1.69217,0.0094654,0.0094654,0.0094654
56,1267.52,0.80907,0.50442,1.1025,0.69064,0.76942,0.66584,0.48661,1.12125,1.17135,1.33263,0.0094555,0.0094555,0.0094555
57,1289.89,0.80212,0.49883,1.1034,0.66167,0.80125,0.66715,0.42772,1.35834,0.99238,1.58933,0.0094456,0.0094456,0.0094456
58,1312.08,0.79512,0.49311,1.10657,0.69648,0.94937,0.74891,0.55542,0.98638,0.72995,1.28994,0.0094357,0.0094357,0.0094357
59,1334.29,0.79591,0.48825,1.10723,0.70034,0.90419,0.74927,0.56064,0.99049,0.79303,1.31755,0.0094258,0.0094258,0.0094258
60,1356.5,0.79579,0.49506,1.11428,0.72512,0.96209,0.74889,0.57395,0.93363,0.69566,1.22287,0.0094159,0.0094159,0.0094159
61,1378.72,0.78438,0.47913,1.10264,0.71776,0.92152,0.73427,0.54704,0.97259,0.7848,1.24599,0.009406,0.009406,0.009406
62,1401.14,0.78267,0.48563,1.09877,0.73209,0.94559,0.73745,0.585,0.84685,0.73416,1.18372,0.0093961,0.0093961,0.0093961
63,1423.36,0.77515,0.47209,1.09765,0.66708,0.76328,0.64467,0.44748,1.26003,1.10849,1.52356,0.0093862,0.0093862,0.0093862
64,1445.89,0.77782,0.47595,1.09966,0.73956,0.97101,0.75868,0.60961,0.81686,0.68252,1.15717,0.0093763,0.0093763,0.0093763
65,1469.05,0.77393,0.47905,1.09805,0.74109,0.96777,0.76124,0.60517,0.85837,0.66367,1.19706,0.0093664,0.0093664,0.0093664
66,1491.36,0.77032,0.46926,1.0972,0.72472,0.86778,0.7192,0.51571,1.1114,0.87069,1.34798,0.0093565,0.0093565,0.0093565
67,1513.69,0.76328,0.4704,1.08167,0.73149,0.96517,0.75372,0.59633,0.85227,0.65694,1.16715,0.0093466,0.0093466,0.0093466
68,1536.26,0.76542,0.46783,1.0904,0.73891,0.97536,0.74546,0.58342,0.88433,0.72994,1.18419,0.0093367,0.0093367,0.0093367
69,1558.76,0.76666,0.46809,1.0868,0.73515,0.9672,0.75747,0.61409,0.79178,0.69829,1.11154,0.0093268,0.0093268,0.0093268
70,1581.59,0.76446,0.46699,1.08029,0.74074,0.96861,0.76939,0.58343,0.93916,0.64068,1.20851,0.0093169,0.0093169,0.0093169
71,1604.02,0.75382,0.4584,1.08376,0.72155,0.92996,0.72835,0.55306,0.93608,0.78042,1.23017,0.009307,0.009307,0.009307
72,1626.4,0.75265,0.45325,1.0755,0.73285,0.96054,0.75484,0.56797,0.96968,0.69538,1.27034,0.0092971,0.0092971,0.0092971
73,1648.6,0.75907,0.46392,1.08222,0.71226,0.94657,0.75661,0.59711,0.85133,0.674,1.14365,0.0092872,0.0092872,0.0092872
74,1671.02,0.75589,0.45063,1.06271,0.74213,0.96761,0.76126,0.61231,0.80867,0.64474,1.10215,0.0092773,0.0092773,0.0092773
75,1693.4,0.74725,0.4605,1.07858,0.72417,0.96407,0.74348,0.58315,0.86624,0.70355,1.19577,0.0092674,0.0092674,0.0092674
76,1715.79,0.74432,0.4551,1.08072,0.72987,0.90934,0.77462,0.56351,1.07774,0.73652,1.31329,0.0092575,0.0092575,0.0092575
77,1738.54,0.7424,0.45211,1.07209,0.69331,0.8809,0.7174,0.48768,1.21519,0.85608,1.40961,0.0092476,0.0092476,0.0092476
78,1760.86,0.7398,0.45094,1.06872,0.73684,0.95895,0.75977,0.60056,0.85852,0.67358,1.13476,0.0092377,0.0092377,0.0092377
79,1783.29,0.73747,0.43902,1.0673,0.73215,0.96272,0.74329,0.59124,0.84545,0.72586,1.18652,0.0092278,0.0092278,0.0092278
80,1805.71,0.73159,0.44737,1.07737,0.73233,0.95205,0.73274,0.57058,0.90114,0.74207,1.2166,0.0092179,0.0092179,0.0092179
81,1827.94,0.73271,0.44503,1.07202,0.70828,0.76227,0.69148,0.51686,1.05321,1.18697,1.30802,0.009208,0.009208,0.009208
82,1850.38,0.73422,0.4487,1.07714,0.73506,0.95098,0.74566,0.59466,0.82958,0.75586,1.16377,0.0091981,0.0091981,0.0091981
83,1873.16,0.72927,0.44464,1.06774,0.73348,0.94274,0.74218,0.60545,0.78133,0.77473,1.10901,0.0091882,0.0091882,0.0091882
84,1895.61,0.72721,0.43825,1.07136,0.70912,0.89336,0.72187,0.51793,1.06824,0.84001,1.31299,0.0091783,0.0091783,0.0091783
85,1918.02,0.72409,0.44324,1.0637,0.72459,0.94018,0.74411,0.55164,1.00446,0.73318,1.25961,0.0091684,0.0091684,0.0091684
86,1940.46,0.72329,0.43975,1.05906,0.72262,0.93885,0.73563,0.56932,0.914,0.7773,1.20332,0.0091585,0.0091585,0.0091585
87,1962.86,0.72423,0.43652,1.06314,0.72904,0.9393,0.73084,0.572,0.88092,0.78352,1.1613,0.0091486,0.0091486,0.0091486
88,1985.08,0.71881,0.43906,1.06607,0.73568,0.95266,0.74477,0.59068,0.84341,0.69461,1.1522,0.0091387,0.0091387,0.0091387
89,2007.57,0.71101,0.43416,1.05934,0.7342,0.93657,0.74991,0.59439,0.84683,0.74791,1.13275,0.0091288,0.0091288,0.0091288
90,2029.78,0.71178,0.4318,1.04475,0.73492,0.93392,0.7797,0.59795,0.92357,0.71439,1.16724,0.0091189,0.0091189,0.0091189
91,2052.18,0.7163,0.43196,1.05475,0.74159,0.94233,0.7507,0.61158,0.79367,0.7347,1.10717,0.009109,0.009109,0.009109
92,2074.65,0.71526,0.4279,1.06116,0.73098,0.95742,0.74561,0.58099,0.90668,0.73523,1.19455,0.0090991,0.0090991,0.0090991
93,2097.08,0.71854,0.42926,1.05661,0.73167,0.95561,0.74297,0.57904,0.87921,0.78284,1.18791,0.0090892,0.0090892,0.0090892
94,2119.42,0.70619,0.42898,1.05864,0.70584,0.94194,0.79439,0.59162,0.9585,0.68493,1.26238,0.0090793,0.0090793,0.0090793
95,2141.89,0.70768,0.42972,1.05345,0.74089,0.95568,0.76909,0.62316,0.80227,0.65162,1.11671,0.0090694,0.0090694,0.0090694
96,2164.93,0.70491,0.4261,1.05024,0.72575,0.96568,0.74162,0.55977,0.96196,0.74096,1.2256,0.0090595,0.0090595,0.0090595
97,2187.42,0.69849,0.42898,1.05309,0.73777,0.94593,0.73784,0.60683,0.76475,0.75559,1.10431,0.0090496,0.0090496,0.0090496
98,2209.85,0.70409,0.42532,1.04773,0.73652,0.96139,0.74263,0.60612,0.77038,0.72414,1.09596,0.0090397,0.0090397,0.0090397
99,2232.1,0.70439,0.42435,1.04674,0.73519,0.95726,0.74728,0.60073,0.81542,0.67888,1.1269,0.0090298,0.0090298,0.0090298
100,2254.52,0.69949,0.42868,1.04508,0.72572,0.94885,0.75498,0.59165,0.88544,0.71379,1.18662,0.0090199,0.0090199,0.0090199
101,2276.97,0.69976,0.42377,1.04062,0.74015,0.94342,0.72968,0.58394,0.80703,0.75385,1.08974,0.00901,0.00901,0.00901
102,2299.53,0.69128,0.41691,1.03809,0.70982,0.93283,0.73536,0.59193,0.79694,0.76271,1.14505,0.0090001,0.0090001,0.0090001
103,2321.94,0.69276,0.42412,1.04906,0.73797,0.92021,0.74769,0.60952,0.77927,0.79013,1.14422,0.0089902,0.0089902,0.0089902
104,2344.22,0.68952,0.41609,1.0471,0.73555,0.95005,0.73915,0.60305,0.76775,0.75233,1.11995,0.0089803,0.0089803,0.0089803
105,2366.45,0.69267,0.41487,1.04353,0.73829,0.96716,0.74471,0.61421,0.74701,0.69354,1.09769,0.0089704,0.0089704,0.0089704
106,2388.96,0.69016,0.41724,1.03965,0.73849,0.96427,0.74629,0.61557,0.75734,0.69358,1.08121,0.0089605,0.0089605,0.0089605
107,2411.4,0.68681,0.41393,1.03404,0.7402,0.94592,0.76802,0.6312,0.76203,0.6987,1.07523,0.0089506,0.0089506,0.0089506
108,2434.19,0.69232,0.42164,1.03493,0.73981,0.94889,0.73791,0.60665,0.76484,0.72717,1.07684,0.0089407,0.0089407,0.0089407
109,2456.46,0.68588,0.41379,1.04222,0.72405,0.92971,0.74059,0.54773,1.01884,0.7893,1.321,0.0089308,0.0089308,0.0089308
110,2478.9,0.68319,0.41793,1.0514,0.72671,0.94481,0.73827,0.59414,0.82095,0.74351,1.1756,0.0089209,0.0089209,0.0089209
111,2501.27,0.67531,0.40822,1.03916,0.74104,0.95225,0.74347,0.6097,0.78018,0.69654,1.12127,0.008911,0.008911,0.008911
112,2523.78,0.6747,0.4067,1.03262,0.74346,0.9564,0.74951,0.61169,0.77612,0.68623,1.1091,0.0089011,0.0089011,0.0089011
113,2546.24,0.67425,0.40588,1.0311,0.70678,0.93106,0.72935,0.54424,0.9874,0.74805,1.2729,0.0088912,0.0088912,0.0088912
114,2568.66,0.67007,0.40191,1.02519,0.73935,0.93427,0.73831,0.61301,0.74137,0.77428,1.09707,0.0088813,0.0088813,0.0088813
115,2591.13,0.67061,0.40596,1.04108,0.73786,0.96009,0.74429,0.62109,0.72555,0.78677,1.11621,0.0088714,0.0088714,0.0088714
116,2613.37,0.6692,0.4015,1.04172,0.74005,0.95888,0.76367,0.63854,0.70984,0.65547,1.09775,0.0088615,0.0088615,0.0088615
117,2636.48,0.66822,0.40328,1.03025,0.72707,0.8749,0.72732,0.53503,1.06476,0.84794,1.31018,0.0088516,0.0088516,0.0088516
118,2658.86,0.66942,0.40379,1.02457,0.72822,0.93531,0.72849,0.59733,0.75345,0.70848,1.08533,0.0088417,0.0088417,0.0088417
119,2681.53,0.66588,0.39934,1.03133,0.73619,0.93517,0.73121,0.60304,0.75539,0.82898,1.0905,0.0088318,0.0088318,0.0088318
120,2703.94,0.66617,0.40075,1.03558,0.72929,0.91469,0.73994,0.61081,0.75461,0.90152,1.12949,0.0088219,0.0088219,0.0088219
121,2726.37,0.66455,0.39446,1.02781,0.74197,0.96192,0.74574,0.62136,0.72445,0.67374,1.06646,0.008812,0.008812,0.008812
122,2748.84,0.66297,0.39943,1.02148,0.73087,0.93253,0.73492,0.61006,0.72961,0.8425,1.07707,0.0088021,0.0088021,0.0088021
123,2771.37,0.66441,0.39993,1.0237,0.7338,0.94285,0.73133,0.60195,0.77443,0.70816,1.09557,0.0087922,0.0087922,0.0087922
124,2793.64,0.65596,0.39924,1.02925,0.74209,0.94617,0.73715,0.61848,0.70849,0.74172,1.09748,0.0087823,0.0087823,0.0087823
125,2815.91,0.65996,0.40307,1.03847,0.735,0.94698,0.73597,0.617,0.70574,0.78337,1.0803,0.0087724,0.0087724,0.0087724
126,2838.54,0.65449,0.39815,1.02136,0.73716,0.9448,0.73791,0.6101,0.7499,0.73677,1.09471,0.0087625,0.0087625,0.0087625
127,2860.82,0.65824,0.39262,1.03274,0.73747,0.93698,0.73816,0.61136,0.74566,0.7994,1.13525,0.0087526,0.0087526,0.0087526
128,2883.25,0.65321,0.39512,1.02881,0.7346,0.92374,0.73021,0.60875,0.72002,0.78325,1.11188,0.0087427,0.0087427,0.0087427
129,2905.7,0.65268,0.39191,1.02178,0.73857,0.94947,0.73491,0.61266,0.73226,0.72444,1.08767,0.0087328,0.0087328,0.0087328
130,2927.95,0.64946,0.39244,1.01757,0.73595,0.95067,0.73536,0.61864,0.69644,0.70837,1.06271,0.0087229,0.0087229,0.0087229
131,2950.2,0.64957,0.39097,1.0208,0.73755,0.94916,0.73862,0.61632,0.72716,0.75877,1.0995,0.008713,0.008713,0.008713
132,2972.44,0.64871,0.38752,1.01314,0.74199,0.94343,0.74223,0.61404,0.73111,0.70496,1.05453,0.0087031,0.0087031,0.0087031
133,2994.92,0.64951,0.39029,1.01681,0.74173,0.94684,0.75425,0.63007,0.71864,0.71004,1.06463,0.0086932,0.0086932,0.0086932
134,3017.35,0.63902,0.38647,1.00923,0.73372,0.94672,0.76321,0.60242,0.87132,0.70463,1.16988,0.0086833,0.0086833,0.0086833
135,3039.83,0.64146,0.38352,1.01232,0.74104,0.94667,0.73878,0.61185,0.74113,0.73595,1.07786,0.0086734,0.0086734,0.0086734
136,3062.18,0.64568,0.3867,1.00746,0.73803,0.93163,0.73361,0.60823,0.75057,0.74391,1.0652,0.0086635,0.0086635,0.0086635
137,3084.67,0.64041,0.39039,1.00205,0.73311,0.93124,0.76793,0.61953,0.789,0.73368,1.12059,0.0086536,0.0086536,0.0086536
138,3106.91,0.64061,0.38212,1.0051,0.73749,0.94907,0.7465,0.60978,0.78408,0.69359,1.10573,0.0086437,0.0086437,0.0086437
139,3129.35,0.63801,0.38966,1.00531,0.72394,0.90175,0.73168,0.53005,1.05972,0.7649,1.30133,0.0086338,0.0086338,0.0086338
140,3151.79,0.63637,0.38287,0.99698,0.72192,0.92532,0.72472,0.57623,0.83829,0.69876,1.1081,0.0086239,0.0086239,0.0086239
141,3174.11,0.63297,0.3817,1.0015,0.74113,0.93049,0.73175,0.61741,0.71185,0.76528,1.04578,0.008614,0.008614,0.008614
142,3196.58,0.63684,0.38366,1.008,0.74184,0.95003,0.74121,0.61384,0.75655,0.76664,1.08627,0.0086041,0.0086041,0.0086041
143,3219.08,0.6334,0.38253,1.00423,0.73549,0.92186,0.72999,0.601,0.75943,0.83376,1.09347,0.0085942,0.0085942,0.0085942
144,3241.35,0.6288,0.38034,0.99888,0.74264,0.94975,0.74667,0.61917,0.73723,0.71028,1.06047,0.0085843,0.0085843,0.0085843
145,3263.8,0.63306,0.38089,1.01288,0.73595,0.92885,0.73612,0.61487,0.71428,0.77824,1.08284,0.0085744,0.0085744,0.0085744
146,3286.47,0.62997,0.38079,1.01327,0.73533,0.94372,0.74156,0.61231,0.74259,0.71875,1.09338,0.0085645,0.0085645,0.0085645
147,3308.92,0.63332,0.38004,1.00866,0.73568,0.91886,0.72333,0.61264,0.6824,0.85459,1.05382,0.0085546,0.0085546,0.0085546
148,3331.38,0.62748,0.3779,1.00428,0.74066,0.9396,0.73653,0.60244,0.78176,0.74432,1.09575,0.0085447,0.0085447,0.0085447
149,3353.65,0.62511,0.37634,0.99972,0.73977,0.94123,0.74094,0.61811,0.72391,0.73414,1.06745,0.0085348,0.0085348,0.0085348
150,3375.91,0.63145,0.37768,0.99762,0.74052,0.93049,0.73012,0.61897,0.68625,0.7741,1.03765,0.0085249,0.0085249,0.0085249
151,3398.12,0.62669,0.37577,1.0106,0.74178,0.94792,0.74879,0.63632,0.67112,0.68385,1.05282,0.008515,0.008515,0.008515
152,3420.41,0.62708,0.37257,1.00602,0.73994,0.94353,0.73958,0.622,0.7004,0.75301,1.0552,0.0085051,0.0085051,0.0085051
153,3442.83,0.62876,0.37631,0.99742,0.73625,0.93131,0.72947,0.61014,0.72478,0.82319,1.06246,0.0084952,0.0084952,0.0084952
154,3465.26,0.61723,0.37152,0.99919,0.73843,0.93608,0.72913,0.60051,0.75664,0.8265,1.10489,0.0084853,0.0084853,0.0084853
155,3487.76,0.62443,0.37364,1.0016,0.70494,0.91949,0.70025,0.58347,0.72782,0.84051,1.08116,0.0084754,0.0084754,0.0084754
156,3510.02,0.62901,0.37505,0.99771,0.74258,0.9305,0.73577,0.60597,0.75423,0.78113,1.0724,0.0084655,0.0084655,0.0084655
157,3532.25,0.622,0.38071,1.00888,0.72123,0.93452,0.73145,0.61686,0.67983,0.73615,1.05103,0.0084556,0.0084556,0.0084556
158,3554.9,0.62311,0.37515,1.00573,0.73909,0.95377,0.74711,0.6326,0.67557,0.69578,1.03727,0.0084457,0.0084457,0.0084457
159,3577.22,0.618,0.3664,0.99867,0.73418,0.94866,0.73896,0.61003,0.74849,0.75564,1.09436,0.0084358,0.0084358,0.0084358
160,3599.47,0.61496,0.36882,0.99762,0.73594,0.91541,0.7253,0.61576,0.69102,0.92227,1.06646,0.0084259,0.0084259,0.0084259
161,3622.1,0.61679,0.37209,1.00949,0.74225,0.93024,0.73819,0.61466,0.73914,0.81768,1.09868,0.008416,0.008416,0.008416
162,3644.58,0.61231,0.36993,1.00155,0.73681,0.92716,0.73293,0.62454,0.6722,0.82634,1.05932,0.0084061,0.0084061,0.0084061
163,3667.03,0.61549,0.37271,1.00371,0.74266,0.94752,0.74369,0.6258,0.69263,0.69998,1.06812,0.0083962,0.0083962,0.0083962
164,3689.5,0.61425,0.37001,0.99986,0.73825,0.93229,0.73541,0.61134,0.74546,0.77001,1.10391,0.0083863,0.0083863,0.0083863
165,3711.9,0.61345,0.36759,1.00655,0.7411,0.93586,0.73184,0.61585,0.7061,0.79034,1.08226,0.0083764,0.0083764,0.0083764
166,3734.27,0.61439,0.36726,1.00448,0.74132,0.94678,0.74834,0.62058,0.73787,0.72856,1.09869,0.0083665,0.0083665,0.0083665
167,3756.72,0.60828,0.36665,0.99796,0.741,0.93604,0.73305,0.61505,0.70259,0.799,1.07455,0.0083566,0.0083566,0.0083566
168,3778.99,0.60785,0.36771,0.99395,0.74144,0.92747,0.73048,0.62091,0.67679,0.77791,1.05377,0.0083467,0.0083467,0.0083467
169,3801.15,0.60407,0.36186,0.99424,0.74446,0.93863,0.74469,0.6288,0.70175,0.76792,1.06502,0.0083368,0.0083368,0.0083368
170,3823.29,0.60042,0.36311,0.99314,0.73288,0.90293,0.73025,0.62184,0.66869,0.92932,1.05622,0.0083269,0.0083269,0.0083269
171,3845.46,0.60854,0.36551,0.98839,0.73996,0.92644,0.73804,0.62685,0.67299,0.81072,1.03711,0.008317,0.008317,0.008317
172,3867.63,0.60872,0.3671,0.98643,0.73895,0.93905,0.73715,0.61284,0.73621,0.74106,1.06208,0.0083071,0.0083071,0.0083071
173,3889.85,0.60387,0.36179,0.99574,0.74234,0.94578,0.74174,0.63791,0.64747,0.79331,1.04169,0.0082972,0.0082972,0.0082972
174,3912.11,0.60573,0.36092,0.99445,0.73715,0.92752,0.73647,0.63159,0.65284,0.85252,1.04779,0.0082873,0.0082873,0.0082873
175,3934.31,0.59589,0.36117,0.99602,0.742,0.9258,0.73612,0.63205,0.64852,0.84396,1.05634,0.0082774,0.0082774,0.0082774
176,3956.6,0.6004,0.35571,0.99362,0.73938,0.92116,0.73105,0.62468,0.65446,0.84377,1.04866,0.0082675,0.0082675,0.0082675
177,3978.93,0.60335,0.3614,0.99378,0.74427,0.94475,0.74363,0.63174,0.66958,0.73859,1.04372,0.0082576,0.0082576,0.0082576
178,4001.04,0.59785,0.35969,0.99254,0.74003,0.9289,0.73142,0.62657,0.65252,0.82097,1.04753,0.0082477,0.0082477,0.0082477
179,4023.32,0.5995,0.36401,0.99269,0.73052,0.8981,0.72528,0.62078,0.65915,0.89729,1.04949,0.0082378,0.0082378,0.0082378
180,4045.48,0.59576,0.35691,0.99368,0.74039,0.92258,0.73217,0.62193,0.68332,0.78734,1.05836,0.0082279,0.0082279,0.0082279
181,4067.65,0.59418,0.36071,0.99821,0.7384,0.91995,0.73254,0.62401,0.67051,0.83871,1.06518,0.008218,0.008218,0.008218
182,4089.84,0.59166,0.36015,0.99007,0.74221,0.93175,0.73774,0.61565,0.73093,0.75394,1.09081,0.0082081,0.0082081,0.0082081
183,4112.11,0.59605,0.36112,0.98661,0.74327,0.93945,0.74639,0.62098,0.72049,0.70415,1.07429,0.0081982,0.0081982,0.0081982
184,4134.35,0.59036,0.35499,0.98383,0.74048,0.94272,0.73514,0.62681,0.67017,0.74408,1.04228,0.0081883,0.0081883,0.0081883
185,4156.54,0.59894,0.36027,0.99387,0.73491,0.9208,0.7321,0.61659,0.70603,0.8767,1.07932,0.0081784,0.0081784,0.0081784
